Timestamp,Username,Roll number,Which semester are you studying in?,Which stream are you in,Which school did you pass SLC from?,Which school did you pass +2 from?,What was your SLC percentage?,What was your +2 percentage?,What was your KUCAT score?,What were your GPAs in all semester?(answer using spaces),Have you cleared all your papers you have appeared in?,How seriously do you take your pre examination breaks?,What is your hours of self study per day?,How much time do you spend in googling study materials?,"Do you have a personal hobby?(Don't answer Yes, if you compromise studying for other recreational activities.) ",Do you do your assignment yourself?,How is your class attendance?,How do you do your assignments? (You may choose more than one option),What are your parents' professions?,How interactive and attentive are you during lecture?( 5 being very attentive ) ,What study materials do you rely on?,How often do you take online courses?,Where are you currently staying?,Is there any senior or junior member in your family also studying Computer Science?,Do you have any mentors other than family members who can help you in your studies?,Do you have any family problems?,Do you have any health problems?
2017/06/07 8:36:24 PM GMT+5:45,,11190,2,CE,A,B,82.75,80.4,993,3.15,Yes,I take it seriously,more than one hour,more than one hour,yes,Of selected subjects only,very good,Based on the text book;Text book and reference books;Surf the internet;Visit the photocopy kiosk,p,4,"All A,B and C",never,KU area,No,,No,No
2017/06/07 8:39:06 PM GMT+5:45,,9,2,CE,A,B,89,80%,1168,3.5,Yes,I take it seriously,less than one hour,less than one hour,yes,Yes,very good,Text book and reference books,b,4,"All A,B and C",never,KU area,Yes,Yes,No,No
2017/06/07 8:39:40 PM GMT+5:45,,38,4,CE,A,A,79,60,847,2.9933,Yes,I study occasionally,more than one hour,less than one hour,occasionally i engage myself into something,Of selected subjects only,average,Based on the text book;Surf the internet,h,2,"All A,B and C",never,KU area,No,,No,No
2017/06/07 8:44:33 PM GMT+5:45,,49,6,CS,B,A,76.75,57%,888,2.2,No,I take it seriously,less than one hour,more than one hour,yes,Of selected subjects only,very good,Surf the internet,g,3,Teachers' notes,never,KU area,No,,No,No
2017/06/07 8:48:55 PM GMT+5:45,,11239,2,CE,A,A,87.5,81.6,933,3.1,Yes,I study occasionally,less than one hour,less than one hour,yes,Yes,very good,Based on the text book,b,4,"All A,B and C",never,KU area,No,No,No,No
2017/06/07 8:49:03 PM GMT+5:45,,34,4,CE,A,A,78.8,74%,956,3.55,Yes,I take it seriously,less than one hour,less than one hour,occasionally i engage myself into something,No,very good,Based on the text book;Surf the internet;Visit the photocopy kiosk,p,3,"All A,B and C",never,KU area,No,,No,No
2017/06/07 8:54:45 PM GMT+5:45,,1,6,CE,A,A,83.25,74.90%,1050,3.4,Yes,I take it seriously,less than one hour,less than one hour,no,Of selected subjects only,very good,Surf the internet,p,2,Teachers' notes,never,Other,No,No,No,No
2017/06/07 8:55:01 PM GMT+5:45,,34,4,CS,A,A,83,75,700,3.22,Yes,I take it seriously,more than one hour,more than one hour,occasionally i engage myself into something,Of selected subjects only,very good,Surf the internet,p,3,Teachers' notes,never,KU area,No,No,No,Yes
2017/06/07 8:58:40 PM GMT+5:45,,5,8,CS,A,A,85.38,76%,999,3.4257,Yes,I take it as a vacation,more than one hour,less than one hour,occasionally i engage myself into something,Yes,very good,Text book and reference books;Surf the internet,p,3,"All A,B and C",regularly,Other,No,,No,No
2017/06/07 8:59:54 PM GMT+5:45,,48,2,CE,A,A,87.37,83.1,1152,3.78,Yes,I study occasionally,less than one hour,less than one hour,occasionally i engage myself into something,Yes,very good,Based on the text book;Text book and reference books,p,5,"All A,B and C",never,Other,Yes,No,Yes,No
2017/06/07 9:01:20 PM GMT+5:45,,26,2,CE,A,A,89.3,81.30%,1098,3.27,Yes,I study occasionally,more than one hour,more than one hour,occasionally i engage myself into something,Of selected subjects only,very good,Surf the internet,p,4,"All A,B and C",regularly,KU area,Yes,Yes,No,No
2017/06/07 9:03:29 PM GMT+5:45,,8,2,CE,B,A,88.625,75.6,1068,2.92,Yes,I study occasionally,more than one hour,more than one hour,yes,Yes,very good,Based on the text book;Surf the internet,p,3,"All A,B and C",never,KU area,Yes,No,No,No
2017/06/07 9:05:11 PM GMT+5:45,,59,2,CE,A,A,87.5,81.6,933,3.1,Yes,I take it seriously,less than one hour,less than one hour,yes,Yes,very good,Based on the text book;Text book and reference books,b,4,"All A,B and C",never,KU area,No,No,No,No
2017/06/07 9:06:54 PM GMT+5:45,,57,4,CE,B,A,87.63,81,1000,3.78,Yes,I take it seriously,more than one hour,less than one hour,yes,Yes,very good,Based on the text book;Text book and reference books;Surf the internet,g,4,"All A,B and C",never,Other,Yes,Yes,No,No
2017/06/07 9:09:25 PM GMT+5:45,,54,6,CE,A,A,90,80.2,957,3.175,No,I study occasionally,less than one hour,less than one hour,occasionally i engage myself into something,No,average,Text book and reference books;Surf the internet,b,2,"All A,B and C",never,Other,No,No,Yes,Yes
2017/06/07 9:16:24 PM GMT+5:45,,13,4,CE,A,A,85,83,1013,3.59,Yes,I study occasionally,less than one hour,less than one hour,yes,No,average,Visit the photocopy kiosk,g,3,Notes of classmates,never,Other,No,,No,No
2017/06/07 9:16:43 PM GMT+5:45,,43,2,CE,A,A,84,75,1105,3.04,Yes,I study occasionally,more than one hour,more than one hour,occasionally i engage myself into something,No,average,Surf the internet,p,3,Teachers' notes,never,Other,No,Yes,No,No
2017/06/07 9:19:28 PM GMT+5:45,,24,2,CE,A,A,84.9,83,987,3.3,Yes,I take it seriously,less than one hour,less than one hour,yes,Of selected subjects only,very good,Text book and reference books;Surf the internet;Visit the photocopy kiosk,b,3,"All A,B and C",never,Other,No,No,No,Yes
2017/06/07 9:21:30 PM GMT+5:45,,1,2,CE,A,A,86.38,79,1171,3.33,Yes,I take it as a vacation,less than one hour,less than one hour,occasionally i engage myself into something,Yes,very good,Based on the text book,b,3,Teachers' notes,occasionally,Other,No,Yes,No,No
2017/06/07 9:22:21 PM GMT+5:45,,1,4,CE,B,B,70,70,916,2.8,No,I study occasionally,less than one hour,more than one hour,yes,Of selected subjects only,average,Based on the text book;Text book and reference books;Surf the internet,g,2,"All A,B and C",never,KU area,No,No,No,No
2017/06/07 9:22:47 PM GMT+5:45,,27,2,CE,A,A,86.25,84.6,1084,3.62,Yes,I take it seriously,less than one hour,less than one hour,occasionally i engage myself into something,Yes,very good,Surf the internet;Visit the photocopy kiosk,p,3,Teachers' notes,never,KU area,No,,Yes,No
2017/06/07 9:25:03 PM GMT+5:45,,26,4,CS,B,B,91.13,76,860,3.56,Yes,I study occasionally,more than one hour,more than one hour,yes,Of selected subjects only,very good,Surf the internet;Visit the photocopy kiosk,p,3,Teachers' notes,never,Other,No,,No,No
2017/06/07 9:28:55 PM GMT+5:45,,34,6,CE,A,A,86,78,964,3.284,Yes,I take it seriously,less than one hour,less than one hour,yes,No,very good,Surf the internet,p,2,Books,never,KU area,No,No,No,No
2017/06/07 9:43:36 PM GMT+5:45,,6,5,CS,A,A,86,70%,850,2.785,Yes,I take it as a vacation,less than one hour,less than one hour,no,Of selected subjects only,hardly 80%,Surf the internet,g,3,"All A,B and C",regularly,KU area,No,no,No,No
2017/06/07 9:47:37 PM GMT+5:45,,65,6,CE,A,A,86.25,73.2,900,2.87,No,I study occasionally,less than one hour,less than one hour,yes,Of selected subjects only,very good,Based on the text book;Text book and reference books;Surf the internet,b,3,Books,regularly,KU area,Yes,No,Yes,Yes
2017/06/07 9:48:04 PM GMT+5:45,,7,4,CS,B,B,80.38,62,715,2.685,No,I study occasionally,less than one hour,more than one hour,yes,Sometimes,very good,Text book and reference books;Surf the internet,b,3,"All A,B and C",never,Other,No,,Yes,No
2017/06/07 9:48:10 PM GMT+5:45,,16,8,CS,A,A,86,3.5(GPA of A-levels),900,2.97,No,I take it seriously,less than one hour,more than one hour,yes,Of selected subjects only,very good,Text book and reference books;Surf the internet,g,4,"All A,B and C",never,KU area,No,no,Yes,Yes
2017/06/07 9:48:44 PM GMT+5:45,,51,4,CE,A,A,85.75,78,941,3.4233,Yes,I study occasionally,less than one hour,less than one hour,occasionally i engage myself into something,No,very good,Based on the text book;Surf the internet;Visit the photocopy kiosk,b,3,"All A,B and C",never,KU area,No,No,No,No
2017/06/07 9:49:50 PM GMT+5:45,,2,2,CE,B,B,83,73,96,3.22,Yes,I take it seriously,more than one hour,less than one hour,occasionally i engage myself into something,Of selected subjects only,very good,Text book and reference books;Surf the internet,p,3,"All A,B and C",regularly,KU area,Yes,,No,No
2017/06/07 9:50:06 PM GMT+5:45,,66,8,CS,,,99,2%,1600,4,No,I study occasionally,less than one hour,less than one hour,yes,No,hardly 80%,Based on the text book;Text book and reference books;Surf the internet;Visit the photocopy kiosk;Consult with seniors,p,1,"All A,B and C",never,KU area,Yes,,No,Yes
2017/06/07 10:02:43 PM GMT+5:45,,11208,2,CE,B,A,87.675,78.3,1157,3.11,Yes,I take it seriously,more than one hour,more than one hour,yes,Yes,very good,Based on the text book;Visit the photocopy kiosk,p,4,Teachers' notes,never,KU area,No,No,No,Yes
2017/06/07 10:14:43 PM GMT+5:45,,55,4,CE,A,A,84.5,75.30%,935,3.0367,No,I take it seriously,more than one hour,more than one hour,no,Of selected subjects only,hardly 80%,Text book and reference books;Surf the internet,h,3,Books,never,Other,No,,No,No
2017/06/07 10:18:21 PM GMT+5:45,,29,2,CE,B,A,84.4,75.50%,1068,3.34,Yes,I take it seriously,more than one hour,less than one hour,occasionally i engage myself into something,Of selected subjects only,very good,Text book and reference books;Surf the internet;Visit the photocopy kiosk,p,3,"All A,B and C",never,KU area,No,yes,No,Yes
2017/06/07 10:20:04 PM GMT+5:45,,17,8,CE,A,A,77.7,74%,0,2.92714,Yes,I study occasionally,less than one hour,less than one hour,occasionally i engage myself into something,No,very good,Based on the text book;Text book and reference books;Surf the internet;Visit the photocopy kiosk,b,3,Teachers' notes,regularly,Other,No,,No,No
2017/06/07 10:25:49 PM GMT+5:45,,16,4,CS,A,A,83,72%,980,3.0633,Yes,I study occasionally,less than one hour,less than one hour,occasionally i engage myself into something,Of selected subjects only,hardly 80%,Surf the internet,p,2,"All A,B and C",never,KU area,No,no,Yes,Yes
2017/06/07 11:52:22 PM GMT+5:45,,40,6,CS,B,B,84,73.3,875,2.62,Yes,I study occasionally,more than one hour,less than one hour,occasionally i engage myself into something,Yes,average,Based on the text book;Surf the internet,g,4,"All A,B and C",never,KU area,No,No,No,No
2017/06/07 11:58:42 PM GMT+5:45,,23,4,CE,B,A,82,80,1056,3.267,Yes,I take it seriously,more than one hour,more than one hour,yes,Yes,very good,Text book and reference books;Surf the internet,b,4,"All A,B and C",never,KU area,No,no,No,No
2017/06/08 12:06:50 AM GMT+5:45,,35,4,CE,A,A,88.38,82.80%,1079,3.72,Yes,I take it seriously,more than one hour,more than one hour,yes,Of selected subjects only,very good,Text book and reference books;Surf the internet,g,2,"All A,B and C",regularly,Other,No,No,No,No
2017/06/08 12:08:43 AM GMT+5:45,,29,2,CE,B,A,84.4,75.50%,1068,3.34,Yes,I take it seriously,more than one hour,less than one hour,occasionally i engage myself into something,Of selected subjects only,very good,Text book and reference books;Surf the internet;Visit the photocopy kiosk,p,3,"All A,B and C",never,KU area,No,yes,No,Yes
2017/06/08 12:10:12 AM GMT+5:45,,10,4,CE,A,A,86,76%,959,2.75,No,I take it seriously,less than one hour,less than one hour,no,No,very good,Surf the internet,p,2,Notes of classmates,never,KU area,No,No,No,Yes
2017/06/08 12:18:09 AM GMT+5:45,,27,4,CE,B,B,78,69,970,3.1567,Yes,I study occasionally,less than one hour,less than one hour,yes,No,hardly 80%,Surf the internet,p,2,Teachers' notes,never,KU area,No,No,No,Yes
2017/06/08 12:25:26 AM GMT+5:45,,53,6,CE,B,A,85.75,83.70%,1019,3.554,Yes,I study occasionally,more than one hour,more than one hour,occasionally i engage myself into something,Of selected subjects only,average,Text book and reference books;Surf the internet,b,3,"All A,B and C",never,KU area,No,No,No,No
2017/06/08 12:53:28 AM GMT+5:45,,66,4,CE,A,A,85,78,940,3.05,Yes,I take it seriously,less than one hour,more than one hour,occasionally i engage myself into something,No,average,Surf the internet,p,3,Teachers' notes,never,KU area,No,No,No,No
2017/06/08 8:48:27 AM GMT+5:45,,42,2,CE,B,A,88,83,1073,3.22,Yes,I take it seriously,less than one hour,less than one hour,yes,Yes,very good,Based on the text book;Text book and reference books;Surf the internet,b,4,Teachers' notes,never,KU area,No,No,No,No
2017/06/08 1:43:45 PM GMT+5:45,,32,4,CE,B,A,81.5,70.1,963,2.94,Yes,I take it seriously,more than one hour,more than one hour,occasionally i engage myself into something,Of selected subjects only,very good,Surf the internet,b,3,"All A,B and C",regularly,KU area,No,,Yes,No
2017/06/08 5:04:18 PM GMT+5:45,,58,8,CE,A,A,84,77,900,3.277,Yes,I take it seriously,more than one hour,more than one hour,yes,Of selected subjects only,average,Text book and reference books;Surf the internet,p,4,Teachers' notes,occasionally,Other,No,,No,No
2017/06/08 5:18:45 PM GMT+5:45,,20,6,CE,A,A,81.25,74.37%,987,3.1375,Yes,I take it seriously,less than one hour,more than one hour,no,Of selected subjects only,very good,Surf the internet,p,5,"All A,B and C",never,KU area,Yes,yes,No,Yes
2017/06/08 5:55:53 PM GMT+5:45,,50,4,CE,A,A,80,dont remember,948,2.92,No,I take it as a vacation,less than one hour,less than one hour,occasionally i engage myself into something,Of selected subjects only,very good,Based on the text book;Text book and reference books;Surf the internet,g,3,Books,never,Other,No,,No,Yes
2017/06/08 8:49:59 PM GMT+5:45,aazad.dahal@gmail.com,67,4,CE,A,A,81,75,930,2.867,No,I take it seriously,less than one hour,less than one hour,occasionally i engage myself into something,Of selected subjects only,average,Surf the internet,p,3,"All A,B and C",never,Other,No,,No,No
2017/06/08 9:50:34 PM GMT+5:45,,56,8,CS,B,A,87.13,64,900,2.417,No,I take it seriously,more than one hour,more than one hour,no,Of selected subjects only,average,Surf the internet;Consult with seniors,b,3,"All A,B and C",never,Other,No,No,Yes,Yes
2017/06/09 6:56:33 AM GMT+5:45,,29,4,CE,A,A,89,79,905,3.367,Yes,I take it seriously,more than one hour,less than one hour,no,Of selected subjects only,very good,Based on the text book;Surf the internet,p,3,"All A,B and C",never,Other,Yes,,No,No
2017/06/09 2:14:04 PM GMT+5:45,,42,4,CE,B,B,85,63,813,3.1767,No,I take it seriously,less than one hour,more than one hour,no,Of selected subjects only,hardly 80%,Based on the text book;Text book and reference books,b,1,Books,never,KU area,No,no,No,Yes
2017/06/09 8:48:32 PM GMT+5:45,,48,6,CS,B,A,81,68,840,2.59,No,I study occasionally,more than one hour,more than one hour,occasionally i engage myself into something,Of selected subjects only,average,Surf the internet;Visit the photocopy kiosk,b,3,Notes of classmates,never,Other,Yes,No,No,No
2017/06/10 11:46:41 AM GMT+5:45,,25,4,CE,A,A,85,72,916,2.033,No,I take it as a vacation,less than one hour,less than one hour,occasionally i engage myself into something,No,very good,Visit the photocopy kiosk,p,2,Notes of classmates,never,Other,No,No,No,No
2017/06/10 11:58:14 AM GMT+5:45,,59,4,CE,A,A,80,86,1000,2.42,No,I take it as a vacation,less than one hour,less than one hour,yes,No,hardly 80%,Visit the photocopy kiosk,p,1,Teachers' notes,never,KU area,No,No,Yes,No
2017/06/10 12:05:34 PM GMT+5:45,,54,8,CS,A,A,91.625,80.7,800,3.173,Yes,I study occasionally,less than one hour,more than one hour,occasionally i engage myself into something,Of selected subjects only,very good,Based on the text book;Text book and reference books;Surf the internet,b,4,Books,occasionally,KU area,No,No,No,Yes
2017/06/10 12:20:22 PM GMT+5:45,,21,5,CS,A,A,79.75,74.3,717,3.1025,Yes,I take it seriously,less than one hour,less than one hour,occasionally i engage myself into something,Yes,very good,Based on the text book;Text book and reference books;Surf the internet,p,5,Teachers' notes,regularly,KU area,No,,No,No
2017/06/10 1:13:07 PM GMT+5:45,,6,2,CE,A,A,10 CGPA (CBSE),90,1036,3.84,Yes,I study occasionally,more than one hour,more than one hour,yes,Yes,very good,Surf the internet,p,4,"All A,B and C",never,KU area,No,no,No,No
2017/06/10 2:00:07 PM GMT+5:45,,41,4,CS,A,A,75,63%,815,2.4,No,I study occasionally,less than one hour,less than one hour,occasionally i engage myself into something,No,very good,Text book and reference books,p,3,"All A,B and C",never,KU area,No,No,No,Yes
2017/06/10 2:00:07 PM GMT+5:45,,41,4,CS,A,A,75,63%,815,2.4,No,I study occasionally,less than one hour,less than one hour,occasionally i engage myself into something,No,very good,Text book and reference books,p,3,"All A,B and C",never,KU area,No,No,No,Yes
2017/06/10 2:39:20 PM GMT+5:45,,44,2,CE,A,A,88,82.5,1134,3.59,Yes,I take it seriously,more than one hour,less than one hour,yes,Yes,very good,Based on the text book;Surf the internet;Visit the photocopy kiosk,p,4,Teachers' notes,never,Other,Yes,yes,No,No
2017/06/10 3:05:35 PM GMT+5:45,,5,2,CE,A,A,90,85%,1250,3.66,Yes,I study occasionally,more than one hour,more than one hour,yes,Yes,very good,Text book and reference books;Surf the internet,g,5,Teachers' notes,regularly,KU area,No,,No,No
2017/06/10 3:49:22 PM GMT+5:45,,22,8,CS,A,A,8.2 cgpa,64.6,900,2.388,No,I study occasionally,less than one hour,less than one hour,no,No,very good,Surf the internet,b,1,Teachers' notes,never,KU area,No,no,No,No
2017/06/10 5:19:50 PM GMT+5:45,,31250 Class RN:47,6,CE,B,B,88,80,931,3.394,Yes,I take it seriously,more than one hour,less than one hour,occasionally i engage myself into something,Yes,very good,Based on the text book;Text book and reference books;Surf the internet,b,3,"All A,B and C",never,KU area,No,,No,No
2017/06/10 5:47:04 PM GMT+5:45,,65,4,CE,A,A,83,69,800,2.6,No,I study occasionally,less than one hour,less than one hour,no,Of selected subjects only,average,Based on the text book,p,2,"All A,B and C",never,Other,No,,No,Yes
2017/06/10 6:14:53 PM GMT+5:45,,42,8,CE,A,A,81.75,69.5,1332,2.68,Yes,I study occasionally,less than one hour,less than one hour,yes,No,hardly 80%,Visit the photocopy kiosk,p,1,Books,regularly,Other,No,,No,No
2017/06/10 7:11:49 PM GMT+5:45,,23,2,CE,A,A,86.5,83,1154,3.21,Yes,I study occasionally,less than one hour,more than one hour,occasionally i engage myself into something,Of selected subjects only,very good,Surf the internet,g,4,"All A,B and C",never,Other,No,No,Yes,Yes
2017/06/10 7:35:00 PM GMT+5:45,,3,2,CE,A,A,83,79,1077,3.62,Yes,I study occasionally,more than one hour,less than one hour,yes,Of selected subjects only,average,Surf the internet;Visit the photocopy kiosk,p,4,Teachers' notes,never,KU area,No,no,No,No
2017/06/10 9:22:13 PM GMT+5:45,,58,2,CE,B,A,75,74.87,962,2.99,Yes,I take it seriously,more than one hour,more than one hour,yes,Of selected subjects only,average,Surf the internet,g,3,Books,never,KU area,No,No,No,No
2017/06/11 6:28:07 AM GMT+5:45,,32,6,CE,B,A,80,70,700,2.7,No,I study occasionally,more than one hour,less than one hour,occasionally i engage myself into something,Of selected subjects only,average,Visit the photocopy kiosk,p,3,Teachers' notes,never,KU area,No,,Yes,No
2017/06/11 7:12:43 PM GMT+5:45,,28,2,CS,A,A,88.6,85.40%,1130,3.54,Yes,I study occasionally,more than one hour,less than one hour,yes,Of selected subjects only,very good,Based on the text book;Text book and reference books;Surf the internet;Visit the photocopy kiosk,p,4,Teachers' notes,never,KU area,No,No,Yes,No
2017/06/13 4:45:31 AM GMT+5:45,,20,4,CS,A,A,90.88,83%,884,3.12,No,I take it as a vacation,less than one hour,less than one hour,yes,Yes,hardly 80%,Surf the internet,p,1,Notes of classmates,occasionally,KU area,No,,No,Yes
2017/06/15 5:37:14 PM GMT+5:45,,58,6,CE,A,A,87,73,963,2.906,Yes,I study occasionally,less than one hour,more than one hour,occasionally i engage myself into something,No,hardly 80%,Text book and reference books;Surf the internet,p,3,"All A,B and C",regularly,KU area,Yes,,Yes,Yes
